Date,Color,Breed,Sex,State,Name,DateCreated
2015-05-24,White,Mixed,F,Lost,Mui Mui,2015-05-24
2015-05-25,Brown,Terrier X,M,Lost,Chewy,2015-05-25
2015-05-25,Brown,Lab X,M/N,Lost,Max,2015-05-25
2015-05-25,Yellow,Labrador,M/N,Lost,Manos,2015-05-25
2009-06-28,Black & Brown,Rottweiler,F,Found,Tanner Santana,2005-06-21
1999-01-03,Black & Tan,Shep X Rotty,M/N,Lost,Tex,2005-06-21
1999-01-04,Black & Tan,Shep X,F,Found,No Name,2005-06-21
1999-01-04,Light Colour,Dog,M/N,Found,No Name,2005-06-21
1999-01-04,Black & Tan,Shep X Collie,F,Lost,Angel,2005-06-21
1999-01-04,Black & Tan,Shepherd,M/N,Lost,Robi,2005-06-21
1999-01-04,Black & Tan,Golden Lab X,M,Lost,Oscar,2005-06-21
1999-01-05,White,Min Toy Poodle,M,Found,No Name,2005-06-21
1999-01-05,Black & White,Border Collie,F/S,Lost,Murphy,2005-06-21
1999-01-06,Black & Tan,Shepherd,M/N,Lost,Chance,2005-06-21
1999-01-09,Red,Pitbull,F/S,Found,No Name,2005-06-21
1999-01-09,Black,Lab X,M/N,Found,No Name,2005-06-21
1999-01-10,Black,Lab,M/N,Lost,No Name,2005-06-21
1999-01-12,Cream,Pomeranian X,M/N,Found,No Name,2005-06-21
1999-01-12,Golden,Rott X Chow,F/S,Lost,Megorah,2005-06-21
1999-01-12,White,Husky X,M,Found,No Name,2005-06-21
1999-01-13,Off White,Pomeranian X,F/S,Found,No Name,2005-06-21
1999-01-13,Black & White,Malamute X Husky X Shep,F,Lost,Tasha,2005-06-21
1999-01-14,White,Pekingese,M/N,Lost,Monty,2005-06-21
1999-01-14,Black & White,Staff Terrier,M/N,Lost,Woody,2005-06-21
1999-01-14,Black & Tan,Rottweiler,M/N,Lost,Teddy,2005-06-21
1999-01-13,Black & White & Brindle,Pitbull X,M/N,Lost,Taz,2005-06-21
